rank,name,anime,favorites,url
774,"Hohenheim, Van(ヴァン・ホーエンハイム)",Fullmetal AlchemistFullmetal Alchemist: The Conqueror of ShamballaFullmetal Alchemist: Reflections,2532,https://myanimelist.net/character/9792/Van_Hohenheim
775,"Sakura, Chiyo(佐倉 千代)",Gekkan Shoujo Nozaki-kunGekkan Shoujo Nozaki-kun Specials,2530,https://myanimelist.net/character/87271/Chiyo_Sakura
776,"Lion, Ryuu(リュー・リオン)",Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka IV: Shin Shou - Meikyuu-henDungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka IV: Shin Shou - Yakusai-henDungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,2528,https://myanimelist.net/character/116183/Ryuu_Lion
777,Orochimaru(大蛇丸),NarutoNaruto: ShippuudenNaruto: Dai Katsugeki!! Yuki Hime Ninpouchou Dattebayo! - Konoha no Sato no Dai Undoukai,2523,https://myanimelist.net/character/2455/Orochimaru
778,"Hiratsuka, Shizuka(平塚 静)",Yahari Ore no Seishun Love Comedy wa Machigatteiru. OVAYahari Ore no Seishun Love Comedy wa Machigatteiru.Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku,2506,https://myanimelist.net/character/67077/Shizuka_Hiratsuka
779,"Archiviste, Noé(ノエ・アルシヴェスト)",Vanitas no KarteVanitas no Karte Part 2Vanitas no Karte: En Route Pour le Gévaudan,2499,https://myanimelist.net/character/136692/Noé_Archiviste
780,"Shiraishi, Urara(白石 うらら)",Yamada-kun to 7-nin no Majo PVYamada-kun to 7-nin no Majo: Mou Hitotsu no Suzaku-saiYamada-kun to 7-nin no Majo,2495,https://myanimelist.net/character/57491/Urara_Shiraishi
781,"Sonozaki, Shion(園崎 詩音)",Higurashi no Naku Koro niHigurashi no Naku Koro ni KiraHigurashi no Naku Koro ni Gou,2493,https://myanimelist.net/character/1313/Shion_Sonozaki
782,Chousou(脹相),Jujutsu KaisenJujutsu Kaisen 2nd Season,2490,https://myanimelist.net/character/180764/Chousou
783,Black★Rock Shooter(ブラック★ロックシューター),Black★Rock Shooter (OVA)Black★Rock Shooter (TV)Black★Rock Shooter,2489,https://myanimelist.net/character/19706/Black★Rock_Shooter
784,"Argyle, Felix(フェリックス・アーガイル / フェリス)",Re:Zero kara Hajimeru Isekai SeikatsuRe:Zero kara Hajimeru Isekai Seikatsu 2nd SeasonRe:Zero kara Hajimeru Isekai Seikatsu 3rd Season,2488,https://myanimelist.net/character/118777/Felix_Argyle
785,"Konno, Yuuki(紺野 木綿季)",Sword Art Online IISword Art Online II: Sword Art Offline IISword Art Online: Alicization - War of Underworld 2nd Season,2479,https://myanimelist.net/character/64523/Yuuki_Konno
786,Lancer(ランサー),Carnival Phantasm EX SeasonFate/stay nightFate/stay night Movie: Unlimited Blade Works,2478,https://myanimelist.net/character/499/Lancer
