rank,name,anime,favorites,url
1356,"Makinohara, Shouko(牧之原 翔子)",Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo MinaiSeishun Buta Yarou wa Bunny Girl Senpai no Yume wo MinaiSeishun Buta Yarou wa Randoseru Girl no Yume wo Minai,1190,https://myanimelist.net/character/149616/Shouko_Makinohara
1357,"Azumane, Asahi(東峰 旭)",Haikyuu!!Haikyuu!! Lev Genzan!Haikyuu!! Second Season,1190,https://myanimelist.net/character/67333/Asahi_Azumane
1358,"Hiiragi, Utena(柊 うてな)",Mahou Shoujo ni Akogarete,1189,https://myanimelist.net/character/193067/Utena_Hiiragi
1359,"Matsuno, Karamatsu(松野 カラ松)",Osomatsu-kun (1988)Osomatsu-kunOsomatsu-san,1189,https://myanimelist.net/character/130932/Karamatsu_Matsuno
1360,"Sakamaki, Ayato(逆巻 アヤト)",Diabolik LoversDiabolik Lovers RecapDiabolik Lovers OVA,1189,https://myanimelist.net/character/79541/Ayato_Sakamaki
1361,Hoozuki(鬼灯),Hoozuki no ReitetsuHoozuki no Reitetsu OVAHoozuki no Reitetsu 2nd Season,1188,https://myanimelist.net/character/79669/Hoozuki
1362,"Souma, Ayame(草摩 綾女)",Fruits BasketFruits Basket 1st SeasonFruits Basket 2nd Season,1186,https://myanimelist.net/character/370/Ayame_Souma
1363,"Takano, Masamune(高野 政宗)",Sekaiichi Hatsukoi OVASekaiichi HatsukoiSekaiichi Hatsukoi 2,1182,https://myanimelist.net/character/30050/Masamune_Takano
1364,"Prussia(プロイセン, ギルベルト・バイルシュミット, 俺様)","Hetalia Axis Powers Fan DiscHetalia Axis PowersHetalia Axis Powers Movie: Paint it, White",1182,https://myanimelist.net/character/18497/Prussia
1365,"Ideale, Zora(ゾラ・イデアーレ)",Black CloverBlack Clover: Mahou Tei no Ken,1181,https://myanimelist.net/character/156018/Zora_Ideale
1366,"Tsukamoto, Yakumo(塚本 八雲)",School RumbleSchool Rumble: Ichi Gakki HoshuuSchool Rumble Ni Gakki,1180,https://myanimelist.net/character/202/Yakumo_Tsukamoto
1367,"Kunikida, Doppo(国木田 独歩)",Bungou Stray Dogs: Hitori AyumuBungou Stray DogsBungou Stray Dogs 2nd Season,1179,https://myanimelist.net/character/132503/Doppo_Kunikida
1368,Weather Report(ウェザー・リポート),JoJo no Kimyou na Bouken Part 6: Stone OceanJoJo no Kimyou na Bouken Part 6: Stone Ocean Part 2JoJo no Kimyou na Bouken Part 6: Stone Ocean Part 3,1179,https://myanimelist.net/character/17675/Weather_Report
1369,Sebas Tian(セバス・チャン),OverlordOverlord: Ple Ple Pleiades - Nazarick Saidai no KikiOverlord Movie 1: Fushisha no Ou,1178,https://myanimelist.net/character/116279/Sebas_Tian
1370,"Arima, Ahiru(有馬 あひる)",Princess TutuPrincess Tutu Recaps,1178,https://myanimelist.net/character/1049/Ahiru_Arima
1371,"Freecss, Ging(ジン＝フリークス)",Hunter x HunterHunter x Hunter: Greed IslandHunter x Hunter: Greed Island Final,1178,https://myanimelist.net/character/26/Ging_Freecss
1372,"Sagara, Sanosuke(相楽 佐之助)",Rurouni Kenshin: Meiji Kenkaku RomantanRurouni Kenshin: Meiji Kenkaku Romantan - Ishinshishi e no ChinkonkaRurouni Kenshin: Meiji Kenkaku Romantan - Seisou-hen,1177,https://myanimelist.net/character/149/Sanosuke_Sagara
1373,Sora(ソラ),,1176,https://myanimelist.net/character/3699/Sora
1374,"Beelzebub IV, Kaiser de Emperana(カイゼル・デ・エンペラーナ・ベルゼバブ4世)",Beelzebub: Hirotta Akachan wa Daimaou!?BeelzebubBeelzebub Specials,1174,https://myanimelist.net/character/21154/Kaiser_de_Emperana_Beelzebub_IV
1375,Dororo(どろろ),Dororo to HyakkimaruDororo PilotDororo,1173,https://myanimelist.net/character/18130/Dororo
1376,"Todoroki, Enji(轟炎司)",Boku no Hero Academia the Movie 3: World Heroes' Mission - TabidachiBoku no Hero Academia 2nd SeasonBoku no Hero Academia: Sukue! Kyuujo Kunren!,1172,https://myanimelist.net/character/141624/Enji_Todoroki
1377,"Komuro, Takashi(小室 孝)",Highschool of the DeadHighschool of the Dead: Drifters of the Dead,1170,https://myanimelist.net/character/6045/Takashi_Komuro
1378,"Madarame, Baku(斑目 貘)",Usogui,1169,https://myanimelist.net/character/68809/Baku_Madarame
1379,"el Bridget, Satellizer(サテライザー＝エル＝ブリジット)",FreezingFreezing SpecialsFreezing Vibration,1169,https://myanimelist.net/character/19241/Satellizer_el_Bridget
1380,"Suzukaze, Aoba(涼風 青葉)","New Game!New Game! Watashi, Shain Ryokou tte Hajimete nanode...New Game!!",1168,https://myanimelist.net/character/129052/Aoba_Suzukaze
1381,Nona(ノーナー),Death Parade,1168,https://myanimelist.net/character/118993/Nona
1382,Louis(ルイ),BeastarsBeastars 2nd SeasonYasashii Suisei,1165,https://myanimelist.net/character/164219/Louis
1383,"Uesugi, Fuutarou(上杉 風太郎)",5-toubun no Hanayome5-toubun no Hanayome ∬5-toubun no Hanayome Movie,1165,https://myanimelist.net/character/159332/Fuutarou_Uesugi
1384,Josee(ジョゼ),Josee to Tora to Sakana-tachi,1160,https://myanimelist.net/character/185511/Josee
1385,Foo Fighters(フー・ファイターズ),JoJo no Kimyou na Bouken Part 6: Stone OceanJoJo no Kimyou na Bouken Part 6: Stone Ocean Part 2,1160,https://myanimelist.net/character/32507/Foo_Fighters
